x,y
-317.5608825683594,41.704475402831974
-319.63624572753906,44.88050842285156
-321.3171081542969,48.27947235107416
-322.25330352783203,51.94471740722656
-321.7234191894531,55.661369323730526
-319.7130813598633,58.83868408203125
-316.49882507324224,60.80120849609375
-312.7761993408203,61.45851135253906
-308.9978408813477,61.17231750488281
-305.31105804443365,60.282012939453125
-301.7416458129883,58.995491027831974
-298.28500366210943,57.43037414550781
-295.2792816162109,55.13274383544916
-292.6930313110351,52.356658935546875
-290.2711181640625,49.43463897705084
-287.89992523193365,46.47112274169916
-285.525276184082,43.51030731201166
-283.1177597045898,40.57615661621094
-280.6618118286132,37.68260955810541
-278.1470184326172,34.83992004394531
-275.56898498535156,32.0545654296875
-272.9253311157226,29.331398010253906
-270.21543884277344,26.674148559570312
-267.4401092529297,24.085334777831974
-264.60064697265625,21.567062377929744
-261.6990661621094,19.120407104492244
-258.6896362304687,16.80886077880865
-255.65276336669916,14.53233337402338
-252.6158905029297,12.255805969238281
-249.57894897460938,9.979209899902372
-246.5420761108398,7.702682495117216
-243.50522613525396,5.426155090332003
-240.46835327148438,3.1496276855469034
-237.43141174316406,0.8730545043945028
-234.39453887939447,-1.403472900390625
-231.357666015625,-3.6800003051757812
-228.32081604003906,-5.9565277099609375
-225.2838745117187,-8.233100891113281
-227.00472259521484,-6.403694152832003
-229.6710586547851,-3.702728271484375
-232.311279296875,-0.9759674072265625
-234.92719268798822,1.773910522460909
-237.51852416992188,4.5469970703125
-240.0845184326172,7.343635559082003
-242.62405395507812,10.164375305175781
-245.1360321044922,13.009513854980526
-247.61724853515625,15.881431579589844
-250.06543731689447,18.781730651855412
-252.47705078125,21.712562561035213
-254.84767150878906,24.676490783691406
-257.1719894409179,27.6768798828125
-259.44304656982416,30.717803955078125
-261.6518936157226,33.804206848144474
-263.78667449951166,36.94219970703125
-265.83184814453125,40.13922119140625
-267.7641143798828,43.40568542480469
-269.55067443847656,46.75395202636719
-271.07310485839844,50.22451019287115
-271.705436706543,53.95835113525396
-271.2280578613281,57.699951171875
-269.0079269409179,60.70409393310541
-265.5010910034179,62.06703948974615
-261.7168273925781,62.21034240722656
-257.9587478637695,61.69801330566406
-254.27139282226562,60.803497314453125
-250.6529083251953,59.65984344482416
-247.03977966308594,58.50811004638666
-243.50625610351562,57.1260986328125
-240.08586883544916,55.48240661621094
-236.7617950439453,53.65146636962896
-233.52391815185553,51.67186737060541
-230.36477661132812,49.56837463378906
-227.27880859375,47.35918426513666
-224.26070404052734,45.058074951171875
-221.30648040771484,42.67555236816406
-218.41238403320312,40.220085144043026
-215.57479858398438,37.699592590331974
-212.79097747802734,35.11984252929693
-210.05810546875,32.486305236816406
-207.37371063232422,29.803077697753906
-204.72943878173828,27.08043670654297
-202.0953521728515,24.3478622436524
-199.4709930419922,21.605995178222656
-196.859634399414,18.851654052734432
-194.2659454345703,16.080764770507812
-191.69175720214844,13.291748046875
-189.13157653808594,10.489776611328125
-186.57318115234375,7.686180114746094
-184.0087661743164,4.888191223144503
-181.4358367919922,2.0980758666992188
-178.85443878173828,-0.68450927734375
-176.26555633544922,-3.459930419921875
-173.6709747314453,-6.2299041748046875
-172.61949157714844,-7.3422698974609375
-175.06985473632812,-4.444396972656278
-177.39932250976562,-1.4481048583984375
-179.6622772216797,1.5988159179687784
-181.88339233398432,4.676429748535185
-184.07681274414062,7.773864746093722
-186.2518081665039,10.884323120117216
-188.41348266601562,14.003913879394474
-190.56744384765625,17.128883361816406
-192.71591186523438,20.257881164550838
-194.86138153076172,23.38873291015625
-197.0071258544922,26.51935577392578
-199.1541976928711,29.649063110351562
-201.30227661132812,32.7781982421875
-203.45507049560547,35.90399169921881
-205.61280822753906,39.026374816894474
-207.77638244628906,42.14475250244146
-209.94728088378906,45.25807189941406
-212.12630462646484,48.36566925048834
-214.31404876708984,51.46706390380865
-216.5114288330078,54.56184387207031
-218.718994140625,57.64918518066406
-220.93811798095703,60.72819519042969
-223.16964721679688,63.79843902587896
-225.41378784179688,66.85927581787115
-227.6713638305664,69.91029357910156
-229.94427490234375,72.94982147216803
-232.23268127441406,75.97765350341803
-234.53717803955072,78.99333190917969
-236.85897827148438,81.99571228027344
-239.1999130249023,84.9833984375
-241.56032562255865,87.95552062988281
-243.94163513183594,90.91114044189447
-246.3450088500977,93.84844970703125
-248.77165985107416,96.76685333251947
-251.2234649658203,99.6639022827149
-253.7014541625977,102.53877258300781
-256.207893371582,105.38878631591797
-258.74431610107416,108.21240997314453
-261.31264495849615,111.00682830810547
-263.91542053222656,113.76904296875
-266.5548400878906,116.4965591430664
-269.2335128784179,119.185302734375
-271.95510101318365,121.83071899414062
-274.72219085693365,124.42818450927734
-277.53903961181646,126.97222900390625
-280.4088745117187,129.45584869384766
-283.3371200561523,131.87025451660162
-286.32862854003906,134.20590209960938
-289.38884735107416,136.4507293701172
-292.5238189697266,138.58965301513672
-295.7399749755859,140.6042938232422
-299.0437698364258,142.47206115722656
-302.4409484863281,144.16354370117193
-305.9356079101562,145.64237213134766
-309.5281372070313,146.86361694335938
-313.2117385864258,147.77182006835938
-316.96773529052734,148.30390167236328
-320.7596893310547,148.392822265625
-324.52628326416016,147.96224975585938
-327.9813690185547,146.47412872314453
-329.6116256713867,143.1852569580078
-328.75428009033203,139.52035522460938
-326.85398864746094,136.2413940429688
-324.5049285888672,133.26270294189453
-321.90428161621094,130.49952697753912
-319.13746643066406,127.90210723876953
-316.25032806396484,125.43883514404297
-313.26957702636724,123.08977508544922
-310.2123565673828,120.840576171875
-307.0913467407226,118.6810073852539
-303.9151535034179,116.60360717773443
-300.68993377685547,114.60285949707031
-297.4212493896484,112.67420959472656
-294.11280822753906,110.81438446044922
-290.7680206298828,109.02079772949219
-287.38954162597656,107.29100036621094
-283.9797058105469,105.62425994873047
-280.5406875610351,104.01872253417969
-277.07395172119146,102.4736328125
-273.58128356933594,100.98853302001953
-270.06378173828125,99.56291961669916
-266.5228652954101,98.19679260253906
-262.9595642089844,96.88992309570312
-259.3749084472656,95.64240264892572
-255.77036285400396,94.45446014404303
-252.15931701660156,93.28583526611334
-248.5809783935547,92.02117156982416
-245.03509521484375,90.66767883300781
-241.5203857421875,89.2356796264649
-238.0353622436523,87.7325439453125
-234.57988739013666,86.16273498535156
